,0,1,2,3
[19 45],-7.5,-0.26824042968750006,-0.25882390625000007,-7.59145828125
[19 44],-5.0,-9.721250000000001,-0.22458640625000004,-0.26114210937500004
[19 43],-0.2512828125,-5.0,-7.532625,-0.21679578125000004
[18 43],-0.254705,-0.25588778906250004,-8.8481703125,-5.0
[17 43],-8.8791190625,-0.27397610234375,-0.24667031250000002,-0.282823109375
[17 44],-8.7725,-7.5225,-0.28671441406250003,-0.272723984375
[17 45],-0.302370876171875,-5.0,-0.27145625000000007,-9.45403125
[17 42],-5.0,-7.543875,-0.21976437500000004,-0.2559726562500001
[17 41],-0.21379765625000002,-9.473139375,-7.5225,-0.22214375000000003
[16 41],-0.220843265625,-0.21490156250000003,-5.0,-9.792124999999999
[15 41],-8.8759296875,-0.22098796874999999,-8.871562015625,-0.22910630468750004
[15 42],-9.509481304687501,-9.4793296875,-0.23739242187500004,-0.23278484375000003
[15 43],-5.0,-5.0,-0.22061093750000005,-5.0
[16 45],-0.29495444140625005,-0.27154085937500005,-7.60242421875,-8.9070992890625
[15 45],-9.5302215234375,-0.29550952343750003,-5.0,-0.28265822304687505
[15 46],-7.5489375,-7.5710409375,-0.29681918164062504,-0.28486839453125
[15 47],-0.290468391796875,-8.793875,-0.31397341015625,-8.827709375
[14 47],-0.30586103515625,-0.31553281716796877,-8.908322691406251,-7.5766125
[13 47],-5.0,-0.316196779296875,-0.29860711835937503,-7.571521875
[13 46],-8.846215625,-9.546665258203126,-0.33966671783496094,-0.3342525403320313
[13 45],-7.5225,-7.5225,-0.34350757396484377,-0.3569339007714844
[13 44],-9.5484355546875,-9.877594189589843,-0.3868743537822876,-0.3646696213964844
[13 43],-10.168672883802003,-10.212200097962159,-0.3962064527441163,-0.3917145625894776
[13 42],-7.5624375,-9.889719910156249,-0.4055600563898927,-0.41397000455097666
[13 41],-0.3959806412273926,-5.0,-9.602954706117188,-0.41668590183325693
[12 41],-0.36997744818652345,-0.39229862032812507,-9.615614293930665,-8.86199375
[11 41],-0.372336180703125,-0.38268283386669927,-8.887739301171875,-7.5489375
[10 41],-0.346446458194336,-0.3828141979138184,-8.8378625,-8.8420953125
[ 9 41],-5.0,-0.3505065229101563,-0.33085704388671877,-5.0
[ 9 40],-8.8831868515625,-7.5225,-0.30600043007812505,-0.33601136928710945
[ 9 39],-10.037157925781251,-0.29161693242187503,-8.85771875,-0.3290099357226563
[10 39],-0.31052435390625005,-0.29071793046875005,-8.879215330859376,-9.853637187499999
[11 39],-0.30395278730468756,-7.581749671875,-0.3228323042578125,-8.8888170546875
[11 38],-5.0,-7.5,-0.33302982617187504,-0.3238935273046875
