,state,action_space,reward,Q,action
8649,[46 45],d,-0.1,-0.36267925605957035,1
8650,[47 45],r,-0.1,-0.33877762871093753,2
8651,[47 44],u,-10,-9.874150224804687,0
8652,[47 44],r,-0.1,-0.311383112109375,2
8653,[47 43],u,-0.1,-0.2784695984375,0
8654,[46 43],l,-10,-8.8697801140625,3
8655,[46 43],u,-0.1,-0.2575301484375,0
8656,[45 43],r,-0.1,-0.24273992187500004,2
8657,[45 42],r,-0.1,-0.21103593750000002,2
8658,[45 41],u,-10,-8.81193125,0
8659,[45 41],r,-0.1,-0.19567812500000004,2
8660,[45 40],l,-0.1,-0.22346140625000005,3
8661,[45 41],r,-0.1,-0.23143781250000003,2
8662,[45 40],r,-0.1,-0.2325359375,2
8663,[45 39],l,-0.1,-0.2501670078125,3
8664,[45 40],l,-0.1,-0.2554843359375001,3
8665,[45 41],l,-0.1,-0.24839458593750002,3
8666,[45 42],l,-0.1,-0.25892494531250004,3
8667,[45 43],l,-10,-8.891530414062501,3
8668,[45 43],d,-0.1,-0.27958393828125006,1
8669,[46 43],d,-0.1,-0.301723420859375,1
8670,[47 43],u,-0.1,-0.305123366015625,0
8671,[46 43],u,-0.1,-0.2879980390625,0
8672,[45 43],d,-0.1,-0.31939108671875005,1
8673,[46 43],l,-10,-9.564489174609374,3
8674,[46 43],u,-0.1,-0.303231984375,0
8675,[45 43],r,-0.1,-0.2663361328125,2
8676,[45 42],r,-0.1,-0.259664984375,2
8677,[45 41],r,-0.1,-0.270360078125,2
8678,[45 40],r,-0.1,-0.257949140625,2
8679,[45 39],d,-0.1,-0.24856734375000006,1
8680,[46 39],r,-10,-9.516024375,2
8681,[46 39],u,-0.1,-0.26929905468750004,0
8682,[45 39],d,-0.1,-0.274240765625,1
8683,[46 39],r,-10,-9.85796928125,2
8684,[46 39],d,-0.1,-0.263102484375,1
8685,[47 39],u,-0.1,-0.28177283671875,0
8686,[46 39],d,-0.1,-0.29219629296875005,1
8687,[47 39],u,-0.1,-0.31207099296875,0
8688,[46 39],u,-0.1,-0.29722468085937503,0
8689,[45 39],u,-10,-8.862575153515625,0
8690,[45 39],l,-0.1,-0.290051455078125,3
8691,[45 40],u,-10,-9.533280451171875,0
8692,[45 40],u,-10,-9.881608176757812,0
8693,[45 40],r,-0.1,-0.30238291484375,2
8694,[45 39],r,-10,-8.88465834453125,2
8695,[45 39],d,-0.1,-0.31860871464843754,1
8696,[46 39],d,-0.1,-0.30674319726562504,1
8697,[47 39],l,-0.1,-0.2741667265625001,3
8698,[47 40],l,-0.1,-0.26647734375000004,3
8699,[47 41],r,-0.1,-0.27502678125,2
8700,[47 40],r,-0.1,-0.29500721445312506,2
8701,[47 39],l,-0.1,-0.30699816796875007,3
8702,[47 40],u,-10,-8.8971960546875,0
8703,[47 40],l,-0.1,-0.30700072343750007,3
8704,[47 41],u,-10,-8.873762051562501,0
8705,[47 41],r,-0.1,-0.3202666371289063,2
8706,[47 40],r,-0.1,-0.33565278281250005,2
8707,[47 39],d,-10,-8.899399175585938,1
8708,[47 39],l,-0.1,-0.3416494095312501,3
8709,[47 40],l,-0.1,-0.3476203484267579,3
8710,[47 41],r,-0.1,-0.3611770708300782,2
8711,[47 40],r,-0.1,-0.35825833824218756,2
8712,[47 39],l,-0.1,-0.3772538615576661,3
8713,[47 40],l,-0.1,-0.3863398560869141,3
8714,[47 41],r,-0.1,-0.39180478762402354,2
8715,[47 40],r,-0.1,-0.3695611159570313,2
8716,[47 39],u,-0.1,-0.33978660287109375,0
8717,[46 39],u,-0.1,-0.3291354952148438,0
8718,[45 39],u,-10,-9.56181073154297,0
8719,[45 39],l,-0.1,-0.3099936787109375,3
8720,[45 40],l,-0.1,-0.28951973164062506,3
